-BEGIN HEADER-
NASA/POWER SRB/FLASHFlux/MERRA2/GEOS 5.12.4 (FP-IT) 0.5 x 0.5 Degree Daily Averaged Data 
Dates (month/day/year): 05/01/2012 through 09/30/2012 
Location: Regional 
Elevation from MERRA-2: Average for 1/2x1/2 degree lat/lon region = na meters   Site = na 
Climate zone: na (reference Briggs et al: http://www.energycodes.gov) 
Value for missing model data cannot be computed or out of model availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN SRB/FLASHFlux 1/2x1/2 All Sky Insolation Incident on a Horizontal Surface (kW-hr/m^2/day) 
-END HEADER-
LAT,LON,YEAR,MO,DY,ALLSKY_SFC_SW_DWN
39.25,-84.25,2012,05,07,              6.41
39.75,-88.25,2012,05,07,              3.86
39.75,-87.75,2012,05,07,              5.34
39.75,-87.25,2012,05,07,              5.34
39.75,-86.75,2012,05,07,              5.58
39.75,-86.25,2012,05,07,              5.58
39.75,-85.75,2012,05,07,              6.13
39.75,-85.25,2012,05,07,              6.13
39.75,-84.75,2012,05,07,              6.41
39.75,-84.25,2012,05,07,              6.41
40.25,-88.25,2012,05,07,              2.99
40.25,-87.75,2012,05,07,              3.00
40.25,-87.25,2012,05,07,              3.00
40.25,-86.75,2012,05,07,              4.96
40.25,-86.25,2012,05,07,              4.96
40.25,-85.75,2012,05,07,              4.99
40.25,-85.25,2012,05,07,              4.99
40.25,-84.75,2012,05,07,              5.77
40.25,-84.25,2012,05,07,              5.77
40.75,-88.25,2012,05,07,              2.99
40.75,-87.75,2012,05,07,              3.00
40.75,-87.25,2012,05,07,              3.00
40.75,-86.75,2012,05,07,              4.96
40.75,-86.25,2012,05,07,              4.96
